Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
KDE_neighbours,500,50,0.7,0.35
KDE_neighbours,500,50,0.6694,0.34
KDE_neighbours,500,50,0.6457999999999999,0.6
KDE_neighbours,500,50,0.6753999999999999,0.3
KDE_neighbours,500,50,0.6494,0.37
KDE_neighbours,500,50,0.7094,0.37
KDE_neighbours,500,50,0.68,0.23
PlugInvalid_neighbours,500,50,0.7293000000000001,0.21
PlugInvalid_neighbours,500,50,0.6951000000000002,0.3
PlugInvalid_neighbours,500,50,0.7093,0.2
PlugInvalid_neighbours,500,50,0.7135000000000001,0.19
PlugInvalid_neighbours,500,50,0.7393000000000001,0.21
PlugInvalid_neighbours,500,50,0.7064000000000001,0.25
PlugInvalid_neighbours,500,50,0.6934999999999999,0.2
PlugInvalid_neighbours,500,50,0.6835000000000001,0.24
PlugInvalid_neighbours,500,50,0.7293000000000001,0.25
PlugInvalid_neighbours,500,50,0.7322000000000002,0.19
PlugInvalid_neighbours,500,50,0.7064,0.19
PlugInvalid_neighbours,500,50,0.7322000000000002,0.2
PlugInvalid_neighbours,500,50,0.6835,0.31
PlugInvalid_neighbours,500,50,0.6896000000000002,0.37
PlugInvalid_neighbours,500,50,0.7064000000000002,0.26
PlugInvalid_neighbours,500,50,0.7264000000000002,0.25
PlugInvalid_neighbours,500,50,0.7064,0.19
PlugInvalid_neighbours,500,50,0.7022000000000002,0.33
PlugInvalid_neighbours,500,50,0.7164,0.31
PlugInvalid_neighbours,500,50,0.7222000000000002,0.24
target-20-neighbours,500,50,0.6,0.5233333333333333
target-20-neighbours,500,50,0.54,0.45
target-20-neighbours,500,50,0.54,0.4303333333333333
target-20-neighbours,500,50,0.58,0.542
target-20-neighbours,500,50,0.55,0.42
target-20-neighbours,500,50,0.54,0.4303333333333333
target-20-neighbours,500,50,0.52,0.41
target-20-neighbours,500,50,0.43,0.27
target-20-neighbours,500,50,0.28,0.18
target-20-neighbours,500,50,0.34,0.25
target-20-neighbours,500,50,0.55,0.4383333333333333
target-20-neighbours,500,50,0.54,0.502
target-20-neighbours,500,50,0.56,0.522
target-20-neighbours,500,50,0.58,0.4583333333333332
target-20-neighbours,500,50,0.55,0.502
target-20-neighbours,500,50,0.55,0.45
target-20-neighbours,500,50,0.48,0.41
target-20-neighbours,500,50,0.03,0.062
target-20-neighbours,500,50,0.56,0.5
target-20-neighbours,500,50,0.55,0.45
Random_neighbours,500,50,0.5912333333333334,0.51
